,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,norm_value,pIC50
116,CHEMBL4743245,CCC(c1nc2ccc(Cl)cc2[nH]1)[C@H]1CC[C@H](Oc2ccnc3ccccc23)CC1,52.0,active,374.88700000000006,5.2748200000000045,1.0,2.0,52.0,7.2839966563652006
117,CHEMBL4750659,CCC(c1nc2ncc(Cl)cc2[nH]1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,5.0,active,370.92400000000015,5.444140000000005,1.0,2.0,5.0,8.301029995663981
118,CHEMBL4750211,CCC(c1nc2ccc(Cl)cc2[nH]1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,3.0,active,356.89700000000005,5.1357200000000045,1.0,2.0,3.0,8.522878745280337
119,CHEMBL4779097,C[C@@H](c1nc2ncc(Cl)cc2[nH]1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,36.0,active,356.8970000000001,5.1357200000000045,1.0,2.0,36.0,7.443697499232713
120,CHEMBL4755937,C[C@@H](c1nc2ccc(Cl)cc2[nH]1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,12.0,active,424.8940000000001,6.236200000000004,1.0,2.0,12.0,7.920818753952375
121,CHEMBL4761987,CCOCC(Nc1nnc(-c2ccc(OC)cc2)o1)[C@H]1CC[C@@H](c2ccnc3ccc(C(F)(F)F)cc32)CC1,57.0,active,370.92400000000015,5.525820000000005,1.0,2.0,57.0,7.2441251443275085
122,CHEMBL4796040,COCC(Nc1nnc(-c2ccc(OC)cc2)o1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,44.0,active,386.9230000000002,5.226000000000004,1.0,3.0,44.0,7.356547323513813
123,CHEMBL4757655,CCC(Nc1nnc(-c2ccc(OC)cc2)o1)[C@H]1CC[C@H](Oc2ccnc3ccccc23)CC1,148.0,active,386.9230000000002,5.226000000000004,1.0,3.0,148.0,6.8297382846050425
124,CHEMBL4746203,CCC(Nc1nnc(-c2ccc(OC)cc2)o1)[C@H]1CC[C@@H](c2ccnc3c(F)cc(F)cc32)CC1,36.0,active,387.9110000000002,4.621000000000003,1.0,4.0,36.0,7.443697499232713
125,CHEMBL4763467,CCC(Nc1nnc(-c2ccc(OC)cc2)o1)[C@H]1CC[C@@H](c2ccnc3ccc(C(F)(F)F)cc32)CC1,6.0,active,421.91500000000013,6.423800000000004,1.0,2.0,6.0,8.221848749616356
126,CHEMBL4752094,CCC(Nc1nnc(-c2ccc(OC)cc2)o1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,31.0,active,435.8980000000002,6.143900000000004,1.0,3.0,31.0,7.508638306165728
127,CHEMBL4780978,C[C@@H](c1nc2cc(F)ccc2[nH]1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,22.0,active,386.9230000000002,4.521100000000004,1.0,3.0,22.0,7.657577319177793
128,CHEMBL4750132,COc1ccc(-c2nnc(N[C@H](C)[C@H]3CC[C@@H](c4ccnc5ccc(F)cc54)CC3)o2)cc1,14.0,active,410.92000000000013,6.119600000000005,1.0,2.0,14.0,7.853871964321762
129,CHEMBL4799065,COc1ccc(Nc2nnc([C@H](C)[C@H]3CC[C@@H](c4ccnc5ccc(F)cc54)CC3)o2)cc1,451.0,active,438.23900000000003,0.4241000000000012,5.0,8.0,451.0,6.345823458122039
130,CHEMBL4750005,C[C@@H](c1nnc(-c2ccc(Cl)cc2)[nH]1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,286.0,active,381.3580000000001,2.1675999999999997,2.0,5.0,286.0,6.543633966870957
131,CHEMBL4779779,C[C@@H](c1nnc(-c2ccc(Cl)cc2)o1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,348.0,active,429.89800000000014,5.373600000000004,1.0,3.0,348.0,6.458420756053419
132,CHEMBL4748491,C[C@@H](c1ncc(-c2ccc(Cl)cc2)[nH]1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,80.0,active,415.87100000000015,4.983500000000004,1.0,3.0,80.0,7.096910013008056
133,CHEMBL4760452,C[C@@H](c1ncc(-c2ccc(Cl)cc2)o1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,631.0,active,408.9040000000001,5.585400000000004,1.0,2.0,631.0,6.199970640755866
134,CHEMBL4161733,C[C@@H](C(=O)Nc1ccc(Cl)cc1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,5.0,active,410.92000000000013,6.575900000000004,1.0,2.0,5.0,8.301029995663981
135,CHEMBL1623628,Cc1c(C)n(CC(O)CNc2ccccc2)c2ccccc12,11400.0,inactive,381.3580000000001,2.1675999999999997,2.0,5.0,11400.0,4.943095148663527
136,CHEMBL4848094,CC[C@@H](NC(=O)c1ccc(OC)nc1)[C@H]1CC[C@@H](c2ccnc(OC)c2C(F)F)CC1,14.0,active,438.23900000000003,0.4241000000000012,5.0,8.0,14.0,7.853871964321762
137,CHEMBL4851220,COC[C@@H](NC(=O)c1ccc(Cl)cc1)[C@H]1CC[C@@H](c2ccnc(OC)c2C(F)F)CC1,11.0,active,438.9300000000002,5.639300000000004,1.0,3.0,11.0,7.958607314841775
138,CHEMBL4845988,CC[C@@H](NC(=O)c1ccc(Cl)cc1)[C@H]1CC[C@@H](c2ccnc(OC)c2C(F)F)CC1,6.0,active,421.92800000000017,4.8952000000000035,1.0,4.0,6.0,8.221848749616356
