,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,norm_value,pIC50
170,CHEMBL4861332,CC[C@@H](NC(=O)c1ccc(Cl)cc1)[C@H]1[C@@H]2C[C@@H](n3cnc4cc(F)c(F)cc43)C[C@@H]21,166.0,active,,,,,166.0,6.779891911959945
171,CHEMBL4858888,CC(NC(=O)c1ccc(Cl)cc1)[C@H]1[C@@H]2C[C@@H](n3cnc4cc(F)c(F)cc43)C[C@@H]21,85.0,active,,,,,85.0,7.070581074285707
172,CHEMBL4855340,C[C@H](C(=O)Nc1ccc(Cl)cc1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,5.8,active,,,,,5.8,8.236572006437063
173,CHEMBL4856710,CC(NC(=O)c1ccc(Cl)cc1)[C@H]1[C@@H]2C[C@@H](c3ccnc4ccc(F)cc34)C[C@@H]21,25.0,active,,,,,25.0,7.6020599913279625
174,CHEMBL5276200,[Br-].c1ccc(Nc2ccc3c[n+]4ccccc4cc3c2)cc1,560.0,active,,,,,560.0,6.251811972993799
175,CHEMBL5266560,Fc1ccc(Nc2ccc3c[n+]4ccccc4cc3c2)cc1.[Br-],530.0,active,,,,,530.0,6.275724130399211
176,CHEMBL5267145,Clc1ccc(Nc2ccc3c[n+]4ccccc4cc3c2)cc1.[Br-],510.0,active,,,,,510.0,6.292429823902063
177,CHEMBL5289728,Clc1cccc(Nc2ccc3c[n+]4ccccc4cc3c2)c1.[Br-],39560.0,inactive,,,,,39560.0,4.402743717074858
178,CHEMBL4534417,Nc1ccc2cc3cccc[n+]3cc2c1.[Br-],160.0,active,,,,,160.0,6.795880017344075
179,CHEMBL5279869,Cc1ccc(Nc2ccc3c[n+]4ccccc4cc3c2)cc1.[Br-],17000.0,inactive,,,,,17000.0,4.769551078621726
180,CHEMBL5267266,COc1ccc(Nc2ccc3c[n+]4ccccc4cc3c2)cc1.[Br-],66000.0,inactive,,,,,66000.0,4.180456064458132
181,CHEMBL5290135,CN(C)c1ccc(Nc2ccc3c[n+]4ccccc4cc3c2)cc1.[Br-],50000.0,inactive,,,,,50000.0,4.301029995663981
182,CHEMBL5266877,COc1ccc2c(c1)C(=O)C1=C(C2=O)[C@@H](C)O[C@@H](CC(=O)O)C1,800.0,active,,,,,800.0,6.096910013008056
4,,,,,160.17600000000002,1.5226,2.0,3.0,,
5,,,,,160.172,2.2509999999999994,2.0,2.0,,
6,,,,,187.242,2.9772000000000007,2.0,2.0,,
8,,,,,396.4900000000002,5.027200000000005,0.0,4.0,,
10,,,,,213.28,3.0267000000000017,0.0,2.0,,
11,,,,,218.25600000000003,1.1326999999999996,2.0,3.0,,
13,,,,,145.16500000000002,1.4716999999999996,1.0,2.0,,
15,,,,,179.60999999999999,2.1250999999999998,1.0,2.0,,
